feature,count,mean,std,min,25%,50%,75%,max
f60,515131.0,3.297393166786701,59.43510913001803,-1900.1048,-25.215635,-0.29663,27.23267,1811.22866
f61,515131.0,0.30799310932558904,49.178109714571185,-1396.70168,-21.627775,1.68662,23.67387,973.05298
f62,515131.0,-0.4756854019657136,37.677967190654456,-600.09076,-18.71691,-3.29677,14.85219,812.42425
f63,515131.0,-138.21793812271054,308.19411355887814,-10345.83328,-262.967705,-115.9943,1.16242,11048.19818
f64,515131.0,-0.6901301061477567,222.20385021158782,-7375.97744,-87.19416000000001,8.45648,105.6808,2877.73853
f65,515131.0,0.24486771594021717,128.14953026696836,-3896.27522,-52.08892,4.82355,54.163219999999995,3447.47902
f66,515131.0,3.1562886714447393,99.92683680409313,-1199.00442,-46.43454,2.2602,51.59602,2055.03948
f67,515131.0,27.633361533590488,116.67880444062146,-2564.78812,-19.44785,18.04075,61.125035,4779.80027
f68,515131.0,31.820623094940903,106.37136434934789,-1904.98432,-19.617440000000002,22.27197,72.49207,5286.82163
f69,515131.0,-0.8376511650240425,36.798855525943495,-974.70248,-16.13954,-0.76615,14.770585,745.50339
f70,515131.0,-8.925241043113305,251.61158888352278,-7057.71245,-96.25899000000001,14.77279,109.78142,3958.07011
f71,515131.0,4.8394395288188825,229.08487427595833,-6953.35736,-90.69906499999999,12.2606,103.543125,4741.181
f72,515131.0,-27.362049297207893,163.79454909676775,-8400.6033,-86.449045,-19.81781,42.520005,2124.10093
f73,515131.0,-11.940990693085835,63.291551527487805,-1812.88944,-42.892965,-12.37103,17.31281,1639.93044
f74,515131.0,-21.570125222923878,64.69162201804264,-1387.50549,-50.804585,-16.76232,11.49471,1278.33332
f75,515131.0,-5.577085736191377,26.357650275847416,-718.42105,-15.042055,-2.45062,7.56261,741.02902
f76,515131.0,-23.304994894813166,268.19805999059855,-9831.45386,-149.56358,-56.26412,62.145345000000006,10020.28316
f77,515131.0,31.109380115562836,144.15790756050527,-2025.77816,-31.72688,38.79559,105.498885,3423.59535
f78,515131.0,-104.97338676109572,201.14224956230677,-8390.03545,-163.453505,-71.40816,-7.32799,5188.32729
f79,515131.0,26.95066704106334,123.8594607778082,-4754.93717,-27.950305,26.88501,85.638305,3735.02558
f80,515131.0,15.756098667406931,32.10074136423685,-437.72203,-1.813065,9.17165,26.277375,840.97338
f81,515131.0,-73.45815789498205,175.61671380398295,-4402.37644,-139.54664,-53.0857,13.482775,4469.45487
f82,515131.0,41.546004603974524,122.23053473852644,-1810.68919,-20.987955,28.79117,89.665675,3210.7017
f83,515131.0,37.934264360832486,95.05331701425092,-3098.35031,-4.66977,33.62235,77.785405,1734.07969
f84,515131.0,0.3144934643226674,16.16191337097195,-341.78912,-6.78266,0.81983,8.470055,260.5449
f85,515131.0,17.674931131129753,114.42126539896755,-3168.92457,-31.578505,15.59725,67.79409000000001,3662.06565
f86,515131.0,-26.32055519535807,173.9897191261281,-4319.99232,-101.533615,-21.21445,52.380685,2833.60895
f87,515131.0,4.459220280181158,13.346677916642344,-236.03926,-2.56514,3.11817,9.96819,463.4195
f88,515131.0,20.034611792573152,185.5698485073787,-7458.37815,-59.508340000000004,7.76393,86.35167999999999,7393.39844
f89,515131.0,1.3296150544618748,22.089476921482046,-381.42443,-8.81954,0.05334,9.681015,677.89963
